r,1,2,3
0.85,76107.2918,104938.144,830232.946
0.85461,73926.8752,102934.669,804988.591
0.85922,71798.1397,100978.503,780679.928
0.86383,69720.0304,99068.5847,757267.53
0.86844,67691.5112,97203.8796,734713.83
0.87306,65711.5651,95383.3769,712983.021
0.87767,63779.1931,93606.0895,692040.97
0.88228,61893.4149,91871.0535,671855.124
0.88689,60053.2677,90177.3274,652394.44
0.8915,58257.8066,88523.9917,633629.295
0.89611,56506.1039,86910.1485,615531.424
0.90072,54797.2491,85334.9207,598073.848
0.90533,53130.3487,83797.4513,581230.807
0.90994,51504.5256,82296.9036,564977.702
0.91456,49918.9192,80832.46,549291.036
0.91917,48372.685,79403.3217,534148.361
0.92378,46864.9944,78008.7085,519528.222
0.92839,45395.0343,76647.8581,505410.114
0.933,43962.0072,75320.0256,491774.432
0.93761,42565.1307,74024.4833,478602.427
0.94222,41203.6373,72760.5201,465876.167
0.94683,39876.7743,71527.4411,453578.496
0.95144,38583.8033,70324.5672,441692.998
0.95606,37324.0004,69151.2349,430203.959
0.96067,36096.6555,68006.7955,419096.339
0.96528,34901.0726,66890.6151,408355.733
0.96989,33736.5691,65802.0741,397968.348
0.9745,32602.4758,64740.567,387920.971
0.97911,31498.1368,63705.5017,378200.942
0.98372,30422.9091,62696.2994,368796.127
0.98833,29376.1624,61712.3945,359694.9
0.99294,28357.2791,60753.2337,350886.111
0.99756,27365.6539,59818.2763,342359.071
1.00217,26400.6936,58906.9935,334103.528
1.00678,25461.817,58018.8681,326109.646
1.01139,24548.4547,57153.3945,318367.992
1.016,23660.0488,56310.0784,310869.51
1.02061,22796.0528,55488.436,303605.51
1.02522,21955.9313,54687.9945,296567.649
1.02983,21139.1601,53908.2913,289747.918
1.03444,20345.2256,53148.8738,283138.624
1.03906,19573.625,52409.2995,276732.378
1.04367,18823.8656,51689.1355,270522.083
1.04828,18095.4653,50987.9581,264500.919
1.05289,17387.952,50305.353,258662.331
1.0575,16700.8633,49640.9146,253000.019
1.06211,16033.7468,48994.2464,247507.929
1.06672,15386.1594,48364.9601,242180.236
1.07133,14757.6674,47752.6759,237011.34
1.07594,14147.8465,47157.0221,231995.855
1.08056,13556.2812,46577.6349,227128.6
1.08517,12982.565,46014.1583,222404.589
1.08978,12426.3,45466.2438,217819.023
1.09439,11887.0969,44933.5504,213367.287
1.099,11364.5747,44415.7443,209044.934
1.10361,10858.3606,43912.4985,204847.684
1.10822,10368.09,43423.4932,200771.417
1.11283,9893.40609,42948.4153,196812.163
1.11744,9433.95972,42486.958,192966.099
1.12206,8989.40944,42038.8212,189229.543
1.12667,8559.4212,41603.7109,185598.945
1.13128,8143.66823,41181.3394,182070.885
1.13589,7741.8309,40771.4247,178642.067
1.1405,7353.59658,40373.691,175309.313
1.14511,6978.65948,39987.8679,172069.559
1.14972,6616.72055,39613.6907,168919.852
1.15433,6267.48726,39250.9003,165857.343
1.15894,5930.67354,38899.2428,162879.283
1.16356,5605.99963,38558.4695,159983.022
1.16817,5293.1919,38228.3368,157166.001
1.17278,4991.98279,37908.6062,154425.754
1.17739,4702.11059,37599.044,151759.897
1.182,4423.31942,37299.4213,149166.132
1.18661,4155.35901,37009.5138,146642.24
1.19122,3897.98463,36729.1018,144186.077
1.19583,3650.95695,36457.9702,141795.574
1.20044,3414.04193,36195.9079,139468.733
1.20506,3187.01067,35942.7085,137203.623
1.20967,2969.63936,35698.1696,134998.381
1.21428,2761.70909,35462.0928,132851.204
1.21889,2563.00578,35234.2839,130760.351
1.2235,2373.32008,35014.5524,128724.142
1.22811,2192.44724,34802.7118,126740.948
1.23272,2020.187,34598.5793,124809.199
1.23733,1856.3435,34401.9757,122927.376
1.24194,1700.72518,34212.7256,121094.008
1.24656,1553.14467,34030.6569,119307.676
1.25117,1413.4187,33855.6012,117567.005
1.25578,1281.36798,33687.3932,115870.666
1.26039,1156.81714,33525.871,114217.374
1.265,1039.59464,33370.8761,112605.885
1.26961,929.53263,33222.253,111034.994
1.27422,826.46691,33079.8494,109503.538
1.27883,730.23682,32943.516,108010.389
1.28344,640.68517,32813.1065,106554.456
1.28806,557.65814,32688.4776,105134.682
1.29267,481.00522,32569.4887,103750.045
1.29728,410.5791,32456.0022,102399.554
1.30189,346.23563,32347.8831,101082.251
1.3065,287.8337,32244.9993,99797.2071
1.31111,235.23522,32147.221,98543.5218
1.31572,188.30499,32054.4214,97320.324
1.32033,146.91067,31966.476,96126.7694
1.32494,110.9227,31883.2629,94962.0396
1.32956,80.21423,31804.6625,93825.342
1.33417,54.66105,31730.5578,92715.9081
1.33878,34.14153,31660.834,91632.9932
1.34339,18.53657,31595.3787,90575.8751
1.348,7.72952,31534.0817,89543.8541
1.35261,1.60611,31476.8352,88536.2515
1.35722,0.05444,31423.5332,87552.4092
1.36183,2.96489,31374.0723,86591.689
1.36644,10.23004,31328.3508,85653.472
1.37106,21.74469,31286.2693,84737.1578
1.37567,37.40573,31247.7303,83842.1639
1.38028,57.11217,31212.6385,82967.9254
1.38489,80.76502,31180.9001,82113.8938
1.3895,108.26732,31152.4238,81279.5373
1.39411,139.52403,31127.1196,80464.3395
1.39872,174.44206,31104.8997,79667.7992
1.40333,212.93017,31085.678,78889.4301
1.40794,254.89896,31069.3702,78128.7599
1.41256,300.26084,31055.8937,77385.3301
1.41717,348.92998,31045.1677,76658.6957
1.42178,400.82229,31037.1128,75948.4244
1.42639,455.85536,31031.6516,75254.0965
1.431,513.94848,31028.7082,74575.3042
1.43561,575.02255,31028.2081,73911.6515
1.44022,639.00008,31030.0787,73262.7538
1.44483,705.80516,31034.2485,72628.2373
1.44944,775.36343,31040.648,72007.7389
1.45406,847.60202,31049.2087,71400.9058
1.45867,922.44958,31059.8638,70807.3952
1.46328,999.83619,31072.548,70226.8738
1.46789,1079.69339,31087.1971,69659.0178
1.4725,1161.95411,31103.7487,69103.5122
1.47711,1246.55265,31122.1412,68560.0512
1.48172,1333.42466,31142.3149,68028.3371
1.48633,1422.50714,31164.2109,67508.0807
1.49094,1513.73835,31187.7719,66999.0007
1.49556,1607.05784,31212.9418,66500.8235
1.50017,1702.40643,31239.6656,66013.2831
1.50478,1799.72611,31267.8895,65536.1207
1.50939,1898.96012,31297.5611,65069.0845
1.514,2000.05283,31328.6291,64611.9299
1.51861,2102.94979,31361.043,64164.4184
1.52322,2207.59765,31394.754,63726.3184
1.52783,2313.94416,31429.714,63297.4044
1.53244,2421.93817,31465.876,62877.4568
1.53706,2531.52956,31503.1942,62466.2621
1.54167,2642.66925,31541.6239,62063.6124
1.54628,2755.30916,31581.1212,61669.3054
1.55089,2869.40219,31621.6434,61283.1441
1.5555,2984.90223,31663.1486,60904.9367
1.56011,3101.76409,31705.5962,60534.4966
1.56472,3219.94349,31748.9461,60171.642
1.56933,3339.39706,31793.1596,59816.1959
1.57394,3460.08232,31838.1985,59467.9859
1.57856,3581.95761,31884.0259,59126.8442
1.58317,3704.98216,31930.6054,58792.6073
1.58778,3829.11596,31977.9017,58465.1158
1.59239,3954.31983,32025.8804,58144.2147
1.597,4080.55537,32074.5077,57829.7529
1.60161,4207.78492,32123.7509,57521.583
1.60622,4335.97158,32173.5779,57219.5617
1.61083,4465.07916,32223.9575,56923.5491
1.61544,4595.07218,32274.8592,56633.4089
1.62006,4725.91585,32326.2533,56349.0085
1.62467,4857.57604,32378.1109,56070.2184
1.62928,4990.0193,32430.4038,55796.9125
1.63389,5123.21279,32483.1044,55528.9678
1.6385,5257.1243,32536.1861,55266.2646
1.64311,5391.72225,32589.6226,55008.6858
1.64772,5526.97563,32643.3886,54756.1177
1.65233,5662.85401,32697.4594,54508.449
1.65694,5799.32752,32751.8108,54265.5716
1.66156,5936.36688,32806.4194,54027.3798
1.66617,6073.94328,32861.2624,53793.7705
1.67078,6212.0285,32916.3176,53564.6432
1.67539,6350.5948,32971.5634,53339.9
1.68,6489.61494,33026.9787,53119.4453
1.68461,6629.06216,33082.5433,52903.1857
1.68922,6768.91022,33138.2371,52691.0304
1.69383,6909.13329,33194.041,52482.8904
1.69844,7049.70603,33249.9361,52278.6793
1.70306,7190.60354,33305.9044,52078.3124
1.70767,7331.80136,33361.928,51881.7073
1.71228,7473.27544,33417.9899,51688.7835
1.71689,7615.00215,33474.0734,51499.4624
1.7215,7756.95829,33530.1623,51313.6673
1.72611,7899.12105,33586.2409,51131.3235
1.73072,8041.46798,33642.2941,50952.3577
1.73533,8183.97706,33698.3071,50776.6987
1.73994,8326.62663,33754.2656,50604.2769
1.74456,8469.39539,33810.1558,50435.0242
1.74917,8612.26241,33865.9644,50268.8742
1.75378,8755.20711,33921.6782,50105.7621
1.75839,8898.20927,33977.2849,49945.6246
1.763,9041.24901,34032.7721,49788.3999
1.76761,9184.30678,34088.1283,49634.0275
1.77222,9327.36337,34143.3421,49482.4486
1.77683,9470.3999,34198.4024,49333.6053
1.78144,9613.3978,34253.2988,49187.4416
1.78606,9756.33883,34308.021,49043.9023
1.79067,9899.20505,34362.5591,48902.9338
1.79528,10041.9788,34416.9036,48764.4836
1.79989,10184.6429,34471.0455,48628.5004
1.8045,10327.1802,34524.9757,48494.9341
1.80911,10469.5739,34578.686,48363.7357
1.81372,10611.8078,34632.168,48234.8573
1.81833,10753.8655,34685.4139,48108.2523
1.82294,10895.7313,34738.4162,47983.8748
1.82756,11037.3896,34791.1676,47861.6803
1.83217,11178.8252,34843.6612,47741.625
1.83678,11320.0228,34895.8902,47623.6662
1.84139,11460.9679,34947.8484,47507.7622
1.846,11601.646,34999.5295,47393.8722
1.85061,11742.0428,35050.9277,47281.9563
1.85522,11882.1444,35102.0374,47171.9755
1.85983,12021.9372,35152.8534,47063.8917
1.86444,12161.4076,35203.3704,46957.6674
1.86906,12300.5427,35253.5836,46853.2664
1.87367,12439.3294,35303.4885,46750.6528
1.87828,12577.7551,35353.0806,46649.7918
1.88289,12715.8074,35402.3558,46550.6493
1.8875,12853.4742,35451.3102,46453.1919
1.89211,12990.7437,35499.94,46357.3869
1.89672,13127.6041,35548.2417,46263.2025
1.90133,13264.044,35596.2119,46170.6072
1.90594,13400.0524,35643.8477,46079.5707
1.91056,13535.6183,35691.146,45990.0629
1.91517,13670.7311,35738.1041,45902.0546
1.91978,13805.3802,35784.7194,45815.5171
1.92439,13939.5556,35830.9896,45730.4225
1.929,14073.2472,35876.9125,45646.7432
1.93361,14206.4454,35922.486,45564.4525
1.93822,14339.1407,35967.7083,45483.5241
1.94283,14471.3237,36012.5777,45403.9323
1.94744,14602.9856,36057.0925,45325.6519
1.95206,14734.1174,36101.2515,45248.6582
1.95667,14864.7106,36145.0532,45172.9272
1.96128,14994.7568,36188.4967,45098.4352
1.96589,15124.248,36231.5809,45025.1591
1.9705,15253.1763,36274.305,44953.0764
1.97511,15381.5338,36316.6682,44882.1648
1.97972,15509.3133,36358.6701,44812.4026
1.98433,15636.5074,36400.31,44743.7686
1.98894,15763.109,36441.5878,44676.242
1.99356,15889.1115,36482.503,44609.8025
1.99817,16014.5081,36523.0557,44544.43
2.00278,16139.2925,36563.2459,44480.105
2.00739,16263.4584,36603.0735,44416.8084
2.012,16386.9999,36642.5388,44354.5215
2.01661,16509.9113,36681.6422,44293.2258
2.02122,16632.1868,36720.3839,44232.9035
2.02583,16753.8212,36758.7645,44173.5368
2.03044,16874.8093,36796.7846,44115.1085
2.03506,16995.146,36834.4448,44057.6016
2.03967,17114.8267,36871.7459,44000.9998
2.04428,17233.8466,36908.6886,43945.2865
2.04889,17352.2014,36945.274,43890.4461
2.0535,17469.8869,36981.5029,43836.4628
2.05811,17586.899,37017.3765,43783.3215
2.06272,17703.2339,37052.8958,43731.007
2.06733,17818.888,37088.0621,43679.5048
2.07194,17933.8577,37122.8765,43628.8005
2.07656,18048.1397,37157.3405,43578.88
2.08117,18161.731,37191.4553,43529.7294
2.08578,18274.6285,37225.2225,43481.3353
2.09039,18386.8295,37258.6435,43433.6843
2.095,18498.3314,37291.7198,43386.7634
2.09961,18609.1317,37324.4531,43340.5599
2.10422,18719.2282,37356.8451,43295.0613
2.10883,18828.6187,37388.8973,43250.2553
2.11344,18937.3012,37420.6116,43206.1299
2.11806,19045.274,37451.9897,43162.6732
2.12267,19152.5355,37483.0334,43119.8738
2.12728,19259.0841,37513.7446,43077.7203
2.13189,19364.9185,37544.1253,43036.2015
2.1365,19470.0375,37574.1773,42995.3067
2.14111,19574.4401,37603.9026,42955.025
2.14572,19678.1254,37633.3032,42915.3461
2.15033,19781.0926,37662.3812,42876.2595
2.15494,19883.3411,37691.1386,42837.7553
2.15956,19984.8704,37719.5775,42799.8235
2.16417,20085.6802,37747.7001,42762.4545
2.16878,20185.7703,37775.5084,42725.6387
2.17339,20285.1405,37803.0047,42689.3667
2.178,20383.791,37830.1911,42653.6295
2.18261,20481.7219,37857.0698,42618.4179
2.18722,20578.9336,37883.6431,42583.7233
2.19183,20675.4263,37909.9131,42549.5369
2.19644,20771.2007,37935.8823,42515.8503
2.20106,20866.2573,37961.5528,42482.6551
2.20567,20960.5971,37986.9269,42449.9431
2.21028,21054.2207,38012.007,42417.7064
2.21489,21147.1293,38036.7954,42385.937
2.2195,21239.3239,38061.2943,42354.6273
2.22411,21330.8057,38085.5062,42323.7695
2.22872,21421.5759,38109.4334,42293.3564
2.23333,21511.6361,38133.0781,42263.3806
2.23794,21600.9876,38156.4429,42233.8348
2.24256,21689.6321,38179.53,42204.7122
2.24717,21777.5712,38202.3419,42176.0057
2.25178,21864.8068,38224.8809,42147.7087
2.25639,21951.3406,38247.1494,42119.8143
2.261,22037.1746,38269.1497,42092.3161
2.26561,22122.3108,38290.8843,42065.2077
2.27022,22206.7514,38312.3556,42038.4828
2.27483,22290.4986,38333.5659,42012.1352
2.27944,22373.5545,38354.5176,41986.1588
2.28406,22455.9215,38375.2131,41960.5476
2.28867,22537.6021,38395.6548,41935.2958
2.29328,22618.5988,38415.845,41910.3976
2.29789,22698.914,38435.7862,41885.8475
2.3025,22778.5504,38455.4807,41861.6397
2.30711,22857.5108,38474.9309,41837.769
2.31172,22935.7977,38494.1391,41814.2299
2.31633,23013.4142,38513.1077,41791.0172
2.32094,23090.3629,38531.839,41768.1257
2.32556,23166.6469,38550.3355,41745.5504
2.33017,23242.2691,38568.5994,41723.2862
2.33478,23317.2325,38586.633,41701.3283
2.33939,23391.5403,38604.4387,41679.6719
2.344,23465.1956,38622.0188,41658.3123
2.34861,23538.2015,38639.3756,41637.2447
2.35322,23610.5613,38656.5113,41616.4647
2.35783,23682.2783,38673.4284,41595.9678
2.36244,23753.3557,38690.129,41575.7496
2.36706,23823.797,38706.6154,41555.8058
2.37167,23893.6054,38722.8899,41536.132
2.37628,23962.7846,38738.9547,41516.7242
2.38089,24031.3378,38754.812,41497.5783
2.3855,24099.2687,38770.464,41478.6901
2.39011,24166.5807,38785.9131,41460.0558
2.39472,24233.2775,38801.1613,41441.6715
2.39933,24299.3626,38816.2108,41423.5333
2.40394,24364.8396,38831.0638,41405.6375
2.40856,24429.7122,38845.7225,41387.9804
2.41317,24493.9841,38860.189,41370.5583
2.41778,24557.659,38874.4655,41353.3677
2.42239,24620.7405,38888.554,41336.405
2.427,24683.2326,38902.4566,41319.6669
2.43161,24745.1388,38916.1755,41303.1499
2.43622,24806.463,38929.7126,41286.8508
2.44083,24867.209,38943.0702,41270.7661
2.44544,24927.3806,38956.2501,41254.8928
2.45006,24986.9816,38969.2545,41239.2276
2.45467,25046.016,38982.0854,41223.7674
2.45928,25104.4874,38994.7447,41208.5092
2.46389,25162.3999,39007.2344,41193.4499
2.4685,25219.7572,39019.5565,41178.5867
2.47311,25276.5634,39031.713,41163.9165
2.47772,25332.8222,39043.7058,41149.4365
2.48233,25388.5375,39055.5368,41135.144
2.48694,25443.7134,39067.2079,41121.0361
2.49156,25498.3536,39078.721,41107.1101
2.49617,25552.4621,39090.0781,41093.3634
2.50078,25606.0429,39101.2808,41079.7933
2.50539,25659.0998,39112.3312,41066.3972
2.51,25711.6368,39123.231,41053.1725
2.51461,25763.6578,39133.982,41040.1169
2.51922,25815.1667,39144.5861,41027.2278
2.52383,25866.1675,39155.0449,41014.5028
2.52844,25916.664,39165.3604,41001.9394
2.53306,25966.6602,39175.5341,40989.5355
2.53767,26016.16,39185.5679,40977.2886
2.54228,26065.1673,39195.4635,40965.1964
2.54689,26113.686,39205.2225,40953.2569
2.5515,26161.72,39214.8467,40941.4677
2.55611,26209.2732,39224.3378,40929.8267
2.56072,26256.3494,39233.6973,40918.3317
2.56533,26302.9526,39242.9269,40906.9808
2.56994,26349.0866,39252.0282,40895.7718
2.57456,26394.7553,39261.0029,40884.7027
2.57917,26439.9624,39269.8526,40873.7715
2.58378,26484.7119,39278.5787,40862.9762
2.58839,26529.0076,39287.1829,40852.315
2.593,26572.8533,39295.6667,40841.7859
2.59761,26616.2528,39304.0316,40831.387
2.60222,26659.2098,39312.2792,40821.1166
2.60683,26701.7282,39320.4109,40810.9727
2.61144,26743.8117,39328.4283,40800.9537
2.61606,26785.464,39336.3327,40791.0578
2.62067,26826.6889,39344.1257,40781.2832
2.62528,26867.4902,39351.8086,40771.6283
2.62989,26907.8714,39359.3829,40762.0913
2.6345,26947.8363,39366.85,40752.6707
2.63911,26987.3886,39374.2113,40743.3648
2.64372,27026.5319,39381.4682,40734.1721
2.64833,27065.2699,39388.622,40725.0908
2.65294,27103.6061,39395.674,40716.1196
2.65756,27141.5442,39402.6256,40707.2569
2.66217,27179.0878,39409.4782,40698.5012
2.66678,27216.2404,39416.2329,40689.851
2.67139,27253.0055,39422.8912,40681.3048
2.676,27289.3868,39429.4542,40672.8613
2.68061,27325.3877,39435.9233,40664.5191
2.68522,27361.0116,39442.2996,40656.2767
2.68983,27396.2622,39448.5845,40648.1327
2.69444,27431.1427,39454.779,40640.0859
2.69906,27465.6567,39460.8845,40632.135
2.70367,27499.8076,39466.9021,40624.2785
2.70828,27533.5987,39472.833,40616.5153
2.71289,27567.0335,39478.6783,40608.8441
2.7175,27600.1152,39484.4392,40601.2636
2.72211,27632.8472,39490.1169,40593.7726
2.72672,27665.2328,39495.7124,40586.3699
2.73133,27697.2754,39501.2268,40579.0543
2.73594,27728.978,39506.6614,40571.8246
2.74056,27760.3441,39512.017,40564.6798
2.74517,27791.3768,39517.2949,40557.6186
2.74978,27822.0794,39522.496,40550.6399
2.75439,27852.4549,39527.6215,40543.7427
2.759,27882.5066,39532.6723,40536.9259
2.76361,27912.2376,39537.6494,40530.1883
2.76822,27941.651,39542.5539,40523.529
2.77283,27970.7499,39547.3868,40516.9468
2.77744,27999.5373,39552.149,40510.4409
2.78206,28028.0164,39556.8416,40504.0101
2.78667,28056.1901,39561.4654,40497.6535
2.79128,28084.0615,39566.0214,40491.37
2.79589,28111.6334,39570.5106,40485.1589
2.8005,28138.909,39574.9339,40479.019
2.80511,28165.891,39579.2922,40472.9495
2.80972,28192.5825,39583.5863,40466.9494
2.81433,28218.9863,39587.8173,40461.0179
2.81894,28245.1053,39591.9859,40455.154
2.82356,28270.9423,39596.0931,40449.3568
2.82817,28296.5001,39600.1396,40443.6256
2.83278,28321.7816,39604.1264,40437.9594
2.83739,28346.7895,39608.0542,40432.3574
2.842,28371.5267,39611.924,40426.8188
2.84661,28395.9957,39615.7365,40421.3427
2.85122,28420.1993,39619.4924,40415.9283
2.85583,28444.1403,39623.1927,40410.5749
2.86044,28467.8213,39626.8381,40405.2817
2.86506,28491.2449,39630.4294,40400.0478
2.86967,28514.4138,39633.9673,40394.8726
2.87428,28537.3305,39637.4525,40389.7553
2.87889,28559.9976,39640.8859,40384.6951
2.8835,28582.4178,39644.2682,40379.6914
2.88811,28604.5934,39647.6001,40374.7433
2.89272,28626.5271,39650.8822,40369.8502
2.89733,28648.2214,39654.1154,40365.0115
2.90194,28669.6786,39657.3003,40360.2263
2.90656,28690.9013,39660.4376,40355.4941
2.91117,28711.8919,39663.528,40350.8141
2.91578,28732.6528,39666.5721,40346.1857
2.92039,28753.1863,39669.5706,40341.6083
2.925,28773.4949,39672.5242,40337.0812
